"Пожалуйста, выберите вариант стрижки, а ниже заполните анкету исходя из опыта - параметры клиента, которого вы стригли одним из приведенных способов",Возраст,Форма Лица,Структура волос,Густота волос,Длина волос,Цвет волос,Среднее время на укладку(минут в день),Образ жизни,Стиль,Телосложение,Стиль одежды,Использование укладочных средств,Тип укладки,Использование фена,Unnamed: 16,Unnamed: 17,Unnamed: 18
Серферская укладка,29-45,Овальная,Волнистые,Низкая,Средние,Шатен,10-30,Спокойный,Минималист,Худощавое,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Серферская укладка,0-12,Ромбовидная,Кудрявые,Низкая,Длинные,Шатен,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Французкий кроп,19-28,Ромбовидная,Прямые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Минималист,Среднее,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Серферская укладка,29-45,Овальная,Волнистые,Средняя,Длинные,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Каскад,19-28,Овальная,Прямые,Средняя,Длинные,Шатен,20,Спортивный/Активный,Смешанный,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Маллет,0-12,Овальная,Волнистые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Базз-кат,0-12,Овальная,Волнистые,Низкая,Короткие,Рыжий,0(не укладываете),Деловой,Смешанный,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,13-18,Ромбовидная,Прямые,Средняя,Средние,Брюнет,25 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Овальная,Прямые,Средняя,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Серферская укладка,29-45,Овальная,Волнистые,Низкая,Длинные,Блонд,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Французкий кроп,19-28,Овальная,Волнистые,Высокая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Среднее,Полу классика ,Да,Естественная,Да,Нет,Нет,Редко
Французкий кроп,13-18,Овальная,Прямые,Средняя,Короткие,Седой,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Никогда
Классика,46+,Овальная,Прямые,Низкая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Лёгкая,Да,Нет,Нет,Редко
Базз-кат,46+,Ромбовидная,Спиральные,Низкая,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Смешанный,Худощавое,Деловой,Нет,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Каскад,13-18,Квадратная,Прямые,Средняя,Длинные,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Деловой,Нет,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Классика,0-12,Ромбовидная,Прямые,Средняя,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Casual,Нет,Естественная,Нет,Нет,Нет,Раз в месяц
Маллет,19-28,Ромбовидная,Волнистые,Низкая,Средние,Брюнет,1-10,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Да,Да,Нет,Раз в месяц
Классика,19-28,Квадратная,Прямые,Средняя,Средние,Брюнет,30-40 минут ,Деловой,Экспериментатор,Спортивное,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Редко
Классика,0-12,Ромбовидная,Волнистые,Средняя,Средние,Блонд,30-40 минут ,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Да,Нет,Нет,Никогда
Серферская укладка,0-12,Овальная,Волнистые,Средняя,Длинные,Блонд,30 минут ,Деловой,Смешанный,Худощавое,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Редко
Крю-кат,46+,Овальная,Волнистые,Средняя,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Да,Нет,Раз в месяц
Шэг,29-45,Овальная,Прямые,Средняя,Длинные,Седой,10-30,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Базз-кат,13-18,Прямоугольная,Прямые,Высокая,Короткие,Рыжий,10-30,Спортивный/Активный,Минималист,Спортивное,Спортивный,Да,Естественная,Да,Уже длинные,Нет,Раз в месяц
Шторки,13-18,Овальная,Волнистые,Низкая,Длинные,Шатен,25 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Крю-кат,19-28,Квадратная,Волнистые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Естественная,Да,Нет,Нет,Раз в месяц
Базз-кат,13-18,Квадратная,Волнистые,Средняя,Короткие,Блонд,10-30,Деловой,Смешанный,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Шторки,0-12,Ромбовидная,Спиральные,Низкая,Длинные,Брюнет,30-40 минут ,Спокойный,Экспериментатор,Худощавое,Casual,Нет,Естественная,Да,Нет,Нет,Раз в месяц
Маллет,13-18,Овальная,Прямые,Средняя,Длинные,Брюнет,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Квадратная,Прямые,Средняя,Длинные,Блонд,25 минут ,Деловой,Экспериментатор,Спортивное,Casual,Нет,Естественная,Да,Уже длинные,Нет,Раз в месяц
Шэг,29-45,Овальная,Волнистые,Высокая,Длинные,Рыжий,30-40 минут ,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Редко
Андеркат,46+,Ромбовидная,Прямые,Средняя,Средние,Брюнет,1-10,Спокойный,Экспериментатор,Худощавое,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Классика,0-12,Квадратная,Прямые,Средняя,Короткие,Брюнет,1-10,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Серферская укладка,19-28,Круглая,Прямые,Средняя,Длинные,Шатен,10-30,Спортивный/Активный,Смешанный,Худощавое,Спортивный,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Ман-бун,0-12,Ромбовидная,Волнистые,Низкая,Длинные,Блонд,30 минут ,Деловой,Экспериментатор,Спортивное,Спортивный,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Базз-кат,13-18,Овальная,Волнистые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Среднее,Деловой,Да,Естественная,Да,Нет,Нет,Раз в месяц
Шэг,13-18,Овальная,Волнистые,Низкая,Средние,Брюнет,30 минут ,Спортивный/Активный,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Классика,13-18,Круглая,Волнистые,Средняя,Короткие,Шатен,10-30,Деловой,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Серферская укладка,19-28,Овальная,Волнистые,Средняя,Длинные,Брюнет,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Да,Уже длинные,Нет,Редко
Крю-кат,19-28,Круглая,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Спокойный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шторки,0-12,Квадратная,Прямые,Высокая,Длинные,Блонд,30 минут ,Спокойный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Серферская укладка,19-28,Овальная,Прямые,Высокая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Никогда
Классика,19-28,Овальная,Волнистые,Средняя,Средние,Блонд,1-10,Деловой,Экспериментатор,Среднее,Спортивный,Да,Неряшливо-растрепанная,Нет,Да,Нет,Редко
Французкий кроп,13-18,Овальная;Круглая;Квадратная,Прямые,Средняя,Средние,Рыжий,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Маллет,19-28,Квадратная,Прямые,Низкая,Длинные,русый,30-40 минут ,Творческий,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Помпадур,29-45,Круглая,Волнистые,Средняя,Средние,Седой,1-10,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Естественная,Да,Да,Нет,Раз в месяц
Серферская укладка,29-45,Овальная,Прямые,Средняя,Длинные,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Крю-кат,19-28,Треугольная,Прямые,Низкая,Короткие,Рыжий,10-30,Спокойный,Смешанный,Худощавое,Casual,Да,Четкая-монолитная,Нет,Да,Нет,Раз в месяц
Андеркат,0-12,Овальная,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Минималист,Худощавое,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Шэг,19-28,Овальная,Волнистые,Низкая,Средние,Любой,10-30,Творческий,Экспериментатор,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Серферская укладка,46+,Овальная,Прямые,Средняя,Длинные,Брюнет,30-40 минут ,Спортивный/Активный,Минималист,Плотное,Спортивный,Да,Естественная,Нет,Да,Нет,Никогда
Классика,13-18,Ромбовидная,Прямые,Низкая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шэг,19-28,Овальная,Прямые,Низкая,Длинные,Шатен,30-40 минут ,Деловой,Экспериментатор,Худощавое,Casual,Да,Естественная,Нет,Уже длинные,Нет,Редко
Классика,19-28,Квадратная,Прямые,Средняя,Средние,Блонд,30-40 минут ,Спокойный,Смешанный,Среднее,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Серферская укладка,46+,Квадратная,Волнистые,Средняя,Средние,Блонд,30-40 минут ,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Шэг,29-45,Квадратная,Волнистые,Средняя,Средние,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Ман-бун,46+,Овальная,Прямые,Высокая,Длинные,Шатен,10-30,Спортивный/Активный,Смешанный,Худощавое,Уличный,Да,Естественная,Да,Нет,Нет,Никогда
Шэг,46+,Овальная,Прямые,Низкая,Средние,Шатен,30-40 минут ,Деловой,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Шторки,19-28,Овальная,Волнистые,Средняя,Длинные,Рыжий,30-40 минут ,Спортивный/Активный,Минималист,Среднее,Спортивный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Базз-кат,46+,Квадратная,Прямые,Средняя,Короткие,Седой,1-10,Деловой,Минималист,Худощавое,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Раз в месяц
Классика,46+,Квадратная,Прямые,Низкая,Средние,Шатен,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шторки,19-28,Квадратная,Кудрявые,Средняя,Длинные,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Каскад,29-45,Овальная,Прямые,Средняя,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Классика,19-28,Овальная,Прямые,Низкая,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Минималист,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Шторки,19-28,Овальная,Прямые,Средняя,Длинные,Брюнет,10-30,Спортивный/Активный,Смешанный,Плотное,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Андеркат,13-18,Овальная,Волнистые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Крю-кат,13-18,Овальная,Прямые,Низкая,Короткие,Седой,1-10,Деловой,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Ромбовидная,Прямые,Средняя,Средние,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Овальная,Волнистые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Да,Да,Нет,Никогда
Базз-кат,19-28,Овальная,Прямые,Низкая,Короткие,Блонд,10-30,Деловой,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Редко
Серферская укладка,13-18,Треугольная,Волнистые,Низкая,Длинные,Седой,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Никогда
Серферская укладка,29-45,Овальная,Волнистые,Средняя,Средние,Блонд,30-40 минут ,Деловой,Экспериментатор,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Серферская укладка,13-18,Прямоугольная,Спиральные,Средняя,Средние,Шатен,30-40 минут ,Деловой,Экспериментатор,Среднее,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,46+,Прямоугольная,Прямые,Средняя,Средние,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Шэг,46+,Ромбовидная,Прямые,Средняя,Средние,Брюнет,10-30,Творческий,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Помпадур,13-18,Квадратная,Кудрявые,Низкая,Средние,Брюнет,30 минут ,Спортивный/Активный,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Крю-кат,29-45,Прямоугольная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Минималист,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Да,Нет,Раз в месяц
Помпадур,19-28,Овальная,Прямые,Средняя,Длинные,Шатен,10-30,Спокойный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Серферская укладка,19-28,Овальная,Прямые,Низкая,Средние,Блонд,10-30,Спокойный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Маллет,0-12,Овальная,Волнистые,Средняя,Длинные,Брюнет,30 минут ,Спокойный,Экспериментатор,Худощавое,Casual,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Крю-кат,0-12,Ромбовидная,Прямые,Низкая,Короткие,Шатен,1-10,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Лёгкая,Нет,Да,Нет,Никогда
Шторки,19-28,Овальная,Кудрявые,Средняя,Длинные,Блонд,30 минут ,Творческий,Минималист,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Французкий кроп,19-28,Квадратная,Кудрявые,Средняя,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Базз-кат,0-12,Квадратная,Прямые,Средняя,Короткие,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Четкая-монолитная,Нет,Да,Нет,Никогда
Базз-кат,29-45,Овальная,Волнистые,Средняя,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шторки,13-18,Треугольная,Волнистые,Средняя,Длинные,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Редко
Базз-кат,19-28,Овальная,Волнистые,Средняя,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Базз-кат,19-28,Овальная,Прямые,Высокая,Короткие,Блонд,10-30,Деловой,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Французкий кроп,29-45,Квадратная,Прямые,Низкая,Короткие,Брюнет,10-30,Спортивный/Активный,Минималист,Среднее,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Серферская укладка,13-18,Ромбовидная,Кудрявые,Низкая,Длинные,Блонд,25 минут ,Творческий,Минималист,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Редко
Классика,29-45,Овальная,Спиральные,Средняя,Короткие,Шатен,1-10,Спокойный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Французкий кроп,19-28,Овальная,Волнистые,Высокая,Средние,Шатен,30 минут ,Деловой,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Да,Нет,Раз в месяц
Классика,19-28,Треугольная,Кудрявые,Низкая,Средние,Шатен,10-30,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Шторки,19-28,Овальная,Волнистые,Средняя,Длинные,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Редко
Шторки,29-45,Овальная,Прямые,Низкая,Длинные,Блонд,20,Деловой,Экспериментатор,Спортивное,Спортивный,Нет,Естественная,Да,Нет,Нет,Никогда
Шэг,19-28,Ромбовидная,Прямые,Низкая,Средние,Шатен,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Крю-кат,19-28,Овальная,Прямые,Низкая,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Минималист,Спортивное,Casual,Да,Естественная,Нет,Да,Нет,Раз в месяц
Шэг,46+,Овальная,Волнистые,Средняя,Средние,Блонд,1-10,Деловой,Минималист,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Крю-кат,19-28,Ромбовидная,Волнистые,Средняя,Короткие,Шатен,10-30,Творческий,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Классика,0-12,Овальная,Прямые,Средняя,Средние,Брюнет,25 минут ,Творческий,Экспериментатор,Худощавое,Спортивный,Нет,Неряшливо-растрепанная,Да,Да,Нет,Редко
Крю-кат,0-12,Овальная,Прямые,Средняя,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Андеркат,19-28,Квадратная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Смешанный,Среднее,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Базз-кат,19-28,Овальная,Волнистые,Низкая,Короткие,Брюнет,0(не укладываете),Деловой,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Да,Да,Нет,Раз в месяц
Шэг,13-18,Квадратная,Прямые,Средняя,Длинные,Брюнет,30 минут ,Спокойный,Экспериментатор,Худощавое,Casual,Да,Естественная,Да,Нет,Нет,Редко
Серферская укладка,0-12,Ромбовидная,Волнистые,Средняя,Средние,Рыжий,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Нет,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Классика,19-28,Круглая,Волнистые,Высокая,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Лёгкая,Нет,Нет,Нет,Раз в месяц
Классика,19-28,Ромбовидная,Прямые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Каскад,19-28,Овальная,Прямые,Низкая,Средние,Шатен,10-30,Деловой,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Нет,Да,Нет,Никогда
Шторки,13-18,Квадратная,Волнистые,Средняя,Длинные,Брюнет,30-40 минут ,Деловой,Минималист,Худощавое,Casual,Нет,Четкая-монолитная,Да,Уже длинные,Нет,Никогда
Серферская укладка,19-28,Квадратная,Прямые,Средняя,Средние,Седой,1-10,Творческий,Экспериментатор,Среднее,Спортивный,Нет,Четкая-монолитная,Да,Нет,Нет,Редко
Шторки,13-18,Круглая,Волнистые,Низкая,Длинные,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Классика,29-45,Квадратная,Волнистые,Средняя,Средние,Брюнет,10-30,Творческий,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Крю-кат,0-12,Квадратная,Кудрявые,Низкая,Короткие,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Естественная,Да,Да,Нет,Раз в месяц
Крю-кат,0-12,Ромбовидная,Прямые,Низкая,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Андеркат,0-12,Прямоугольная,Кудрявые,Низкая,Средние,Блонд,25 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Шэг,29-45,Ромбовидная,Прямые,Низкая,Средние,Блонд,1-10,Деловой,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шторки,0-12,Овальная,Кудрявые,Средняя,Длинные,Шатен,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Никогда
Шэг,19-28,Овальная,Волнистые,Средняя,Длинные,Брюнет,25 минут ,Творческий,Смешанный,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шэг,13-18,Овальная,Прямые,Средняя,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Маллет,19-28,Овальная,Прямые,Средняя,Длинные,Брюнет,20,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Уже длинные,Нет,Раз в месяц
Каскад,46+,Треугольная,Волнистые,Низкая,Средние,Блонд,25 минут ,Спортивный/Активный,Минималист,Среднее,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Андеркат,0-12,Овальная,Прямые,Низкая,Средние,Рыжий,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Шэг,0-12,Овальная,Кудрявые,Высокая,Длинные,Блонд,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Шэг,0-12,Овальная,Прямые,Низкая,Длинные,Шатен,25 минут ,Деловой,Минималист,Спортивное,Casual,Да,Четкая-монолитная,Да,Уже длинные,Нет,Никогда
Маллет,19-28,Круглая,Прямые,Средняя,Средние,Седой,1-10,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Маллет,0-12,Овальная,Прямые,Средняя,Средние,Шатен,1-10,Деловой,Смешанный,Спортивное,Уличный,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шэг,13-18,Овальная,Прямые,Высокая,Длинные,Блонд,30 минут ,Спортивный/Активный,Минималист,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Шэг,19-28,Прямоугольная,Волнистые,Низкая,Длинные,Блонд,10-30,Спортивный/Активный,Смешанный,Плотное,Casual,Да,Четкая-монолитная,Да,Уже длинные,Нет,Никогда
